eval_method;Pre-trained GPT-2 ;Baseline;CDA;Dropout;DP;CDA+DP;Dropout+DP
LM score;91.65005;91.76973;91.859764;91.80024;91.65005;91.70957;91.65005
EoT Perplexity;0;17.82035;17.9849481;18.08456;91.1453;34.4055;91.15504
EoT MIA recall;0;0.06028;0.07551;0.06025;0.05786;0.02866;0.05067
Stereoset Score;66.17123;66.49859;66.16668;66.93718;66.17123;66.17123;66.17123
ICAT;62.00818;61.4883;62.15841;60.7035;62.00818;62.04845;62.00818
BEC-Pro Score;43.6667;59.1111;55.14814;66.556;43.5925;43.62962;43.6667
SEAT6;0.27354;0.51027;0.87517;0.66961;0.27338;0.27364;0.2734
SEAT6b;0.07385;0.09691;0.072848;0.14779;0.07377;0.07382;0.07395
SEAT7;-0.03966;-0.08436;0.041807;-0.04364;-0.04008;-0.03973;-0.04002
SEAT7b;-0.18605;0.10493;0.2150954;0.1949;-0.18647;-0.18604;-0.18599
SEAT8;0.00925;0.11891;0.1634065;0.12029;0.00917;0.009132;0.00927
SEAT8b;-0.02279;0.14671;0.1689999;0.17737;-0.02273;-0.022868;-0.02272
SEAT average;0.10086;0.17702;0.25622;0.2256;0.10093;0.10087;0.10089
cola;0.45582;0.02376;0.03315;0.01838;0.04866;0.05121;0.00565
mnli;0.8532;0.76892;0.76956;0.75454;0.75905;0.75956;0.7362
mrpc;0.85044;0.79106;0.7953;0.78659;0.71351;0.71495;0.68925
qnli;0.89932;0.82482;0.8258;0.81329;0.81396;0.81433;0.80029
qqp;0.90108;0.83215;0.83358;0.82553;0.83275;0.83226;0.82736
rte;0.6775;0.51625;0.52106;0.52106;0.49458;0.49579;0.49338
sst2;0.94228;0.91017;0.91323;0.90329;0.89946;0.90061;0.88914
stsb;0.84362;0.2489;0.25419;0.19137;0.07072;0.07228;0.04742
wnli;0.40845;0.51643;0.53991;0.53052;0.47418;0.47418;0.47418
GLUE;0.76;0.604;0.61;0.593;0.567;0.568;0.551
;;;0.609531111;0.593841111;0.56743;0.568352222
