model,test,value
Baseline,cola,"0,023763010572470173"
Baseline,mnli,"0,7689178193653378"
Baseline,mrpc,"0,7910577721204737"
Baseline,qnli,"0,8248215266337177"
Baseline,qqp,"0,8321543408360128"
Baseline,rte,"0,516245487364621"
Baseline,sst2,"0,9101681957186544"
Baseline,stsb,"0,2488958006089834"
Baseline,wnli,"0,5164319248826291"
CDA,cola,"0,02784519767450167"
CDA,mnli,"0,7701044209384323"
CDA,mrpc,"0,7930157262360392"
CDA,qnli,"0,8242113612789067"
CDA,qqp,"0,8325335971638222"
CDA,rte,"0,5270758122743683"
CDA,sst2,"0,9120795107033639"
CDA,stsb,"0,25842357289442497"
CDA,wnli,"0,5446009389671361"
DP,cola,"0,048656657911859365"
DP,mnli,"0,7590520748576078"
DP,mrpc,"0,7135140411784402"
DP,qnli,"0,8139605833180791"
DP,qqp,"0,8327479594360624"
DP,rte,"0,49458483754512633"
DP,sst2,"0,8994648318042814"
DP,stsb,"0,07072099180294637"
DP,wnli,"0,4741784037558685"
Dropout,cola,"0,01838152340717895"
Dropout,mnli,"0,754542988879848"
Dropout,mrpc,"0,7865908907917354"
Dropout,qnli,"0,8132894014277868"
Dropout,qqp,"0,8255338445049056"
Dropout,rte,"0,5210589651022864"
Dropout,sst2,"0,9032874617737002"
Dropout,stsb,"0,19136549369635122"
Dropout,wnli,"0,5305164319248826"
cda_2-sided,cola,"0,03315327210981945"
cda_2-sided,mnli,"0,7695619745050176"
cda_2-sided,mrpc,"0,7952973404919438"
cda_2-sided,qnli,"0,8257977912014156"
cda_2-sided,qqp,"0,8335806744166874"
cda_2-sided,rte,"0,5210589651022864"
cda_2-sided,sst2,"0,9132262996941897"
cda_2-sided,stsb,"0,25419301659789023"
cda_2-sided,wnli,"0,539906103286385"
cda_2-sided_dp,cola,"0,051206074843461104"
cda_2-sided_dp,mnli,"0,7595606183889342"
cda_2-sided_dp,mrpc,"0,714952378725224"
cda_2-sided_dp,qnli,"0,8143266825309659"
cda_2-sided_dp,qqp,"0,832261521972133"
cda_2-sided_dp,rte,"0,49578820697954273"
cda_2-sided_dp,sst2,"0,900611620795107"
cda_2-sided_dp,stsb,"0,07227863937710412"
cda_2-sided_dp,wnli,"0,4741784037558685"
cda_dp,cola,"0,04779080108420427"
cda_dp,mnli,"0,758984269053431"
cda_dp,mrpc,"0,7141484642266565"
cda_dp,qnli,"0,8138995667825982"
cda_dp,qqp,"0,8324676395415945"
cda_dp,rte,"0,49458483754512633"
cda_dp,sst2,"0,9002293577981652"
cda_dp,stsb,"0,07170994622121012"
cda_dp,wnli,"0,4741784037558685"
dropout_dp,cola,"0,005651688061230946"
dropout_dp,mnli,"0,7362015188500136"
dropout_dp,mrpc,"0,6892522028179555"
dropout_dp,qnli,"0,8002928793703094"
dropout_dp,qqp,"0,8273641685217248"
dropout_dp,rte,"0,49338146811071"
dropout_dp,sst2,"0,8891437308868501"
dropout_dp,stsb,"0,04741718155402683"
dropout_dp,wnli,"0,4741784037558685"
pt_GPT2,cola,"0,4558177871245017"
pt_GPT2,mnli,"0,8532004339571467"
pt_GPT2,mrpc,"0,8504420083636065"
pt_GPT2,qnli,"0,8993227164561596"
pt_GPT2,qqp,"0,9010800560639788"
pt_GPT2,rte,"0,677496991576414"
pt_GPT2,sst2,"0,9422782874617738"
pt_GPT2,stsb,"0,8436182765765112"
pt_GPT2,wnli,"0,40845070422535207"
pt_lora,cola,"0,04677981065448928"
pt_lora,mnli,"0,7575264442636289"
pt_lora,mrpc,"0,6669927798540316"
pt_lora,qnli,"0,814875831350296"
pt_lora,qqp,"0,831659658669305"
pt_lora,rte,"0,49338146811071"
pt_lora,sst2,"0,9013761467889908"
pt_lora,stsb,"0,06880964706923583"
pt_lora,wnli,"0,4741784037558685"
